UserIP_Anonymized,Scenario,survey.age,survey.gender,survey.education,survey.political,survey.religious,country_code,Outcome,Continent
0002ae2d,Footbridge,19,Women,College,0.56,0,GB,0,Europe
0002ae2d,Loop,19,Women,College,0.56,0,GB,1,Europe
0002ae2d,Switch,19,Women,College,0.56,0,GB,1,Europe
00065336,Footbridge,19,Men,College,0,0.68,FR,1,Europe
00065336,Loop,19,Men,College,0,0.68,FR,0,Europe
00065336,Switch,19,Men,College,0,0.68,FR,1,Europe
0009213a,Loop,18,Women,College,0.5,0.01,US,1,Americas
0009213a,Switch,18,Women,College,0.5,0.01,US,1,Americas
000b08cf,Footbridge,21,Men,College,0.39,0.5,US,1,Americas
000b08cf,Loop,21,Men,College,0.39,0.5,US,1,Americas
000b08cf,Switch,21,Men,College,0.39,0.5,US,1,Americas
0010bf32,Footbridge,20,Men,No College,0.5,0.2,IT,1,Europe
0010bf32,Loop,20,Men,No College,0.5,0.2,IT,1,Europe
0010bf32,Switch,20,Men,No College,0.5,0.2,IT,1,Europe
00172220,Footbridge,28,Men,College,1,0.11,FR,1,Europe
00172220,Loop,28,Men,College,1,0.11,FR,1,Europe
00172220,Switch,28,Men,College,1,0.11,FR,1,Europe
001c1d71,Footbridge,20,Women,College,0.58,0.18,US,0,Americas
001c1d71,Loop,20,Women,College,0.58,0.18,US,0,Americas
001c1d71,Switch,20,Women,College,0.58,0.18,US,0,Americas
001d5041,Footbridge,35,Women,College,0.94,0.22,US,0,Americas
001d5041,Loop,35,Women,College,0.94,0.22,US,1,Americas
001d5041,Switch,35,Women,College,0.94,0.22,US,1,Americas
0021a2a2,Footbridge,28,Men,College,0.83,0,ES,1,Europe
0021a2a2,Loop,28,Men,College,0.83,0,ES,1,Europe
0021a2a2,Switch,28,Men,College,0.83,0,ES,1,Europe
00272bbd,Footbridge,24,Men,College,0.5,0.73,HU,0,Europe
00272bbd,Loop,24,Men,College,0.5,0.73,HU,1,Europe
00272bbd,Switch,24,Men,College,0.5,0.73,HU,1,Europe
